,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Souls
5,20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Airplane,CF-TLU,McDonnell Douglas,DC9,No,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,44.0,VMC,45.0
8,20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,2.0
25,20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,8.0
26,20020917X01720,Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,1.0
33,20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal(2),Destroyed,Airplane,N1956H,Piper,PA-34-200T,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
34,20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Destroyed,Airplane,N2CU,Cessna,T337G,No,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,4.0
39,20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
45,20020917X02423,Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,Non-Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,3.0
53,20020917X02141,Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,Non-Fatal,Substantial,Airplane,N1698M,Curtis,C46,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,3.0
65,20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Substantial,Airplane,N55489,Piper,PA-34,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,3.0
68,20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Destroyed,Airplane,N567V,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,UNK,2.0
70,20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,2.0
78,20020917X01715,Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Non-Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,1.0
80,20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
81,20020917X01750,Accident,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Non-Fatal,Destroyed,Airplane,N7706,Cessna,414,No,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,UNK,3.0
84,20020917X01907,Accident,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,Fatal(78),Destroyed,Other,N62AF,Boeing,737-222,No,2.0,Turbo Fan,Unknown,78.0,6.0,3.0,0.0,IMC,87.0
87,20020917X02575,Accident,SEA82DA017,1982-01-13,"SPOKANE, WA",United States,Non-Fatal,Substantial,Airplane,N36PB,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,IMC,2.0
89,20020917X02486,Accident,NYC82DA022,1982-01-15,"BUTLER, PA",United States,Non-Fatal,Substantial,Other,N4875B,Cessna,310,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,2.0
93,20020917X02538,Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Non-Fatal,Substantial,Airplane,N341PL,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC,15.0
94,20020917X01780,Accident,CHI82DA027,1982-01-15,"ANOKA, MN",United States,Non-Fatal,Substantial,Airplane,N300JR,Beechcraft,C-45H,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,2.0
101,20020917X02159,Accident,LAX82DA042,1982-01-17,"HONOLULU, HI",United States,Non-Fatal,Destroyed,Airplane,N21DR,Convair,440,No,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC,3.0
102,20020917X02142,Accident,FTW82FRG21,1982-01-17,"PORT MANSFIELD, TX",United States,Fatal(1),Destroyed,Airplane,N9181Y,Piper,PA-31,No,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,1.0
103,20020917X01967,Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,Non-Fatal,Destroyed,Airplane,N91TW,Piper,PA-31T,No,2.0,Turbo Prop,Personal,0.0,0.0,3.0,0.0,VMC,3.0
104,20020917X01721,Accident,ATL82FA035,1982-01-17,"PICAYUNE, MS",United States,Fatal(2),Destroyed,Airplane,N654T,Beechcraft,F50,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,2.0
119,20020917X01766,Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,Incident,Minor,Airplane,N9240N,De Havilland,DHC-6-300,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,1.0,IMC,1.0
120,20020917X02490,Accident,NYC82DA026,1982-01-19,"SOMERSET, PA",United States,Non-Fatal,Substantial,Airplane,N8043J,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,2.0
127,20020917X01806,Accident,CHI82DA056,1982-01-19,"NEAR LANSING, MI",United States,Non-Fatal,Substantial,Airplane,N4140G,Cessna,340A,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,2.0
129,20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,Non-Fatal,Substantial,Airplane,HCBHS,Bombardier,CL-44D4,No,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,6.0,VMC,6.0
131,20020917X02334,Incident,LAX82IA044,1982-01-20,"SAN JOSE, CA",United States,Incident,Minor,Airplane,N74HP,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,2.0
132,20020917X02258,Accident,LAX82FA048,1982-01-20,"CHERRY VALLEY, CA",United States,Fatal(2),Destroyed,Airplane,N9395Q,Beechcraft,58,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,2.0
134,20020917X01751,Accident,ATL82FKQ10,1982-01-20,"MCCOMB, MS",United States,Fatal(1),Destroyed,Airplane,N6242Y,Piper,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,1.0
